id,name,house,gender,born,died
1,George I,Hanover,man,1660,1727
2,Sophia Dorothea,Brusnwick-Luneburg,woman,1666,1726
3,George II,Hanover,man,1683,1760
4,Caroline,Brandenburg-Ansbach,woman,1683,1737
5,Sophia Dorothea,Hanover,woman,1687,1757
6,Friedrich Wilhelm I,Stuart,man,1688,1740
7,Frederick,Hanover,man,1707,1751
8,Augusta,Saxe-Gotha-Altenburg,man,1719,1772
9,George William,Hanover,man,1717,1718
10,William,Hanover,man,1721,1765
11,Anne,Hanover,woman,1709,1759
12,William IV,Orange-Nassau,man,1711,1751
13,Amelia,Hanover,woman,1711,1786
14,Caroline,Hanover,woman,1713,1756
15,Mary,Hanover,woman,1723,1772
16,Friedrich II,Landgrave of Hesse-Cassel,man,1720,1785
17,Louisa,Hanover,woman,1724,1751
18,Frederick V,Oldenburg,man,1723,1766
19,George III,Hanover,man,1738,1820
20,Edward,Hanover,man,1739,1767
21,William,Hanover,man,1743,1805
22,Maria,Walpole,woman,1736,1807
23,Henry,Hanover,man,1745,1790
24,Anne Horton,Horton,woman,1743,1808
25,Frederick,Hanover,man,1750,1765
26,Augusta,Hanover,man,1737,1813
27,Karl II,Brusnwick-Bevern,man,1735,1806
28,Elizabeth,Hanover,woman,1740,1759
29,Louisa Anne,Hanover,woman,1749,1768
30,Caroline Matilda,Hanover,woman,1751,1775
31,Christian VII,Oldenburg ,man,1749,1808
32,William,Hanover,man,1776,1834
33,Mary,Hanover,woman,1776,1857
34,Sophia Matilda,Hanover,woman,1773,1844
35,Carolina,Hanover,woman,1774,1775
